episode,step,front,back,state,allowed_actions,action,reward,next_front,next_back,next_state,q_value,epsilon
1,33,251,115,F:medium|B:clear,slow_forward|turn_left|turn_right,slow_forward,1.8,219,129,F:medium|B:clear,0.7154,0.15
1,34,219,129,F:medium|B:clear,slow_forward|turn_left|turn_right,slow_forward,2.8,197,85,F:medium|B:clear,1.2039,0.15
1,35,197,85,F:medium|B:clear,slow_forward|turn_left|turn_right,turn_left,-20.0,97,311,F:danger|B:clear,-3.2327,0.15
1,36,97,311,F:danger|B:clear,turn_left|turn_right,turn_left,-8.0,98,81,F:danger|B:clear,1.6556,0.15
1,37,98,81,F:danger|B:clear,turn_left|turn_right,turn_right,-4.0,71,209,F:danger|B:clear,4.0433,0.15
1,38,71,209,F:danger|B:clear,turn_left|turn_right,turn_right,-8.0,158,999,F:near|B:clear,2.2585,0.15
1,39,158,999,F:near|B:clear,turn_left|turn_right,turn_left,16.0,501,999,F:clear|B:clear,3.2052,0.15
1,40,501,999,F:clear|B:clear,forward|slow_forward,forward,-12.0,138,82,F:near|B:clear,-1.2423,0.15
1,0,,,F:unknown|B:unknown,stop,stop,3.0,,,F:unknown|B:unknown,0.54,0.12
1,1,,,F:unknown|B:unknown,stop,stop,3.0,,,F:unknown|B:unknown,1.0683,0.12
1,2,,,F:unknown|B:unknown,stop,stop,3.0,133,,F:near|B:unknown,1.4636,0.12
1,3,133,,F:near|B:unknown,turn_left|turn_right,turn_left,13.3,166,,F:near|B:unknown,2.6875,0.12
1,4,166,,F:near|B:unknown,turn_left|turn_right,turn_left,-4.0,106,,F:near|B:unknown,1.9095,0.12
1,5,106,,F:near|B:unknown,turn_left|turn_right,turn_left,12.6,132,,F:near|B:unknown,4.1362,0.12
1,6,132,,F:near|B:unknown,turn_left|turn_right,turn_left,-4.0,105,,F:near|B:unknown,3.3269,0.12
1,7,105,,F:near|B:unknown,turn_left|turn_right,turn_left,-4.0,111,,F:near|B:unknown,2.535,0.12
1,0,398,402,F:clear|B:clear,forward|slow_forward,forward,-2.0,398,,F:clear|B:unknown,0.227,0.1
1,1,398,,F:clear|B:unknown,forward|slow_forward,forward,-12.0,301,,F:medium|B:unknown,-1.5967,0.1
1,2,301,,F:medium|B:unknown,slow_forward,slow_forward,-0.2,249,,F:medium|B:unknown,0.4043,0.1
1,3,249,,F:medium|B:unknown,slow_forward,slow_forward,3.4,233,,F:medium|B:unknown,1.0523,0.1
1,4,233,,F:medium|B:unknown,slow_forward,slow_forward,7.5,258,,F:medium|B:unknown,2.3796,0.1
1,5,258,,F:medium|B:unknown,slow_forward,slow_forward,-20.0,96,,F:danger|B:unknown,-1.5854,0.1
1,6,96,,F:danger|B:unknown,turn_left|turn_right,turn_left,-25.0,42,,F:extreme|B:unknown,-4.1007,0.1
1,7,42,,F:extreme|B:unknown,escape_left|escape_right,escape_left,16.6,88,,F:danger|B:unknown,3.4204,0.1
1,8,88,,F:danger|B:unknown,turn_left|turn_right,turn_left,20.0,201,,F:medium|B:unknown,3.9993,0.1
1,9,201,,F:medium|B:unknown,slow_forward,slow_forward,-2.0,198,,F:medium|B:unknown,0.0803,0.1
1,10,198,,F:medium|B:unknown,slow_forward,slow_forward,-12.0,155,,F:near|B:unknown,-1.7276,0.1
1,11,155,,F:near|B:unknown,soft_left|soft_right,soft_right,-25.0,12,,F:extreme|B:unknown,-3.6302,0.1
1,12,12,,F:extreme|B:unknown,escape_left|escape_right,escape_left,22.0,122,,F:near|B:unknown,6.8281,0.1
1,13,122,,F:near|B:unknown,soft_left|soft_right,soft_left,-4.0,103,,F:near|B:unknown,-0.3286,0.1
1,14,103,,F:near|B:unknown,soft_left|soft_right,soft_left,14.9,152,,F:near|B:unknown,3.0734,0.1
1,15,152,,F:near|B:unknown,soft_left|soft_right,soft_left,-4.0,133,,F:near|B:unknown,2.287,0.1
1,16,133,,F:near|B:unknown,soft_left|soft_right,soft_left,14.3,176,,F:near|B:unknown,4.8116,0.1
1,17,176,,F:near|B:unknown,soft_left|soft_right,soft_left,-8.0,,,F:unknown|B:unknown,2.7373,0.1
1,18,,,F:unknown|B:unknown,stop,stop,3.0,,,F:unknown|B:unknown,1.9719,0.1
1,19,,,F:unknown|B:unknown,stop,stop,3.0,172,,F:near|B:unknown,2.5906,0.1
1,20,172,,F:near|B:unknown,soft_left|soft_right,soft_left,-4.0,129,,F:near|B:unknown,1.9582,0.1
1,21,129,,F:near|B:unknown,soft_left|soft_right,soft_right,-20.0,76,332,F:danger|B:clear,-2.9142,0.1
1,22,76,332,F:danger|B:clear,turn_left|turn_right,turn_right,6.0,86,,F:danger|B:unknown,3.5655,0.1
1,23,86,,F:danger|B:unknown,turn_left|turn_right,turn_left,6.4,100,,F:danger|B:unknown,5.0649,0.1
1,24,100,,F:danger|B:unknown,turn_left|turn_right,turn_left,17.4,174,,F:near|B:unknown,7.5954,0.1
1,25,174,,F:near|B:unknown,soft_left|soft_right,soft_left,20.0,283,,F:medium|B:unknown,5.277,0.1
1,26,283,,F:medium|B:unknown,slow_forward,slow_forward,2.4,257,,F:medium|B:unknown,0.8723,0.1
1,27,257,,F:medium|B:unknown,slow_forward,slow_forward,0.5,212,,F:medium|B:unknown,0.9434,0.1
1,28,212,,F:medium|B:unknown,slow_forward,slow_forward,5.4,216,,F:medium|B:unknown,1.8951,0.1
1,29,216,,F:medium|B:unknown,slow_forward,slow_forward,-8.0,,,F:unknown|B:unknown,0.5243,0.1
1,30,,,F:unknown|B:unknown,stop,stop,3.0,85,,F:danger|B:unknown,3.8674,0.1
1,31,85,,F:danger|B:unknown,turn_left|turn_right,turn_left,18.7,172,,F:near|B:unknown,10.4301,0.1
1,32,172,,F:near|B:unknown,soft_left|soft_right,soft_left,-4.0,109,,F:near|B:unknown,4.443,0.1
1,33,109,,F:near|B:unknown,soft_left|soft_right,soft_left,-4.0,103,241,F:near|B:clear,2.9866,0.1
1,34,103,241,F:near|B:clear,soft_left|soft_right,soft_left,-8.0,,,F:unknown|B:unknown,-0.4994,0.1
1,35,,,F:unknown|B:unknown,stop,stop,3.0,85,,F:danger|B:unknown,5.3634,0.1
1,36,85,,F:danger|B:unknown,turn_left|turn_right,turn_left,14.0,125,,F:near|B:unknown,11.5458,0.1
1,37,125,,F:near|B:unknown,soft_left|soft_right,soft_left,16.0,559,,F:clear|B:unknown,5.4241,0.1
1,38,559,,F:clear|B:unknown,forward|slow_forward,forward,-12.0,137,,F:near|B:unknown,-0.8088,0.1
1,39,137,,F:near|B:unknown,soft_left|soft_right,soft_left,-4.0,125,,F:near|B:unknown,4.5869,0.1
1,40,125,,F:near|B:unknown,soft_left|soft_right,soft_left,-4.0,131,,F:near|B:unknown,3.7678,0.1
1,41,131,,F:near|B:unknown,soft_left|soft_right,soft_left,-4.0,117,,F:near|B:unknown,2.9665,0.1
1,42,117,,F:near|B:unknown,soft_left|soft_right,soft_left,14.3,160,158,F:near|B:clear,5.0699,0.1
1,43,160,158,F:near|B:clear,soft_left|soft_right,soft_left,-4.0,164,,F:near|B:unknown,0.4111,0.1
1,44,164,,F:near|B:unknown,soft_left|soft_right,soft_left,-20.0,91,133,F:danger|B:clear,1.1221,0.1
2,0,100,219,F:danger|B:clear,turn_left|turn_right,turn_right,13.0,130,,F:near|B:unknown,5.4414,0.0985
2,1,130,,F:near|B:unknown,soft_left|soft_right,soft_left,-20.0,77,,F:danger|B:unknown,-0.8511,0.0985
2,2,77,,F:danger|B:unknown,turn_left|turn_right,turn_left,13.0,107,,F:near|B:unknown,11.8709,0.0985
2,3,107,,F:near|B:unknown,soft_left|soft_right,soft_left,16.9,176,330,F:near|B:clear,3.4351,0.0985
2,4,176,330,F:near|B:clear,soft_left|soft_right,soft_left,6.5,191,,F:medium|B:unknown,1.5901,0.0985
2,5,191,,F:medium|B:unknown,slow_forward,slow_forward,-25.0,55,,F:extreme|B:unknown,-2.9885,0.0985
2,6,55,,F:extreme|B:unknown,escape_left|escape_right,escape_left,18.0,476,,F:clear|B:unknown,8.934,0.0985
2,7,476,,F:clear|B:unknown,forward|slow_forward,forward,-12.0,175,,F:near|B:unknown,-1.1239,0.0985
2,8,175,,F:near|B:unknown,soft_left|soft_right,soft_left,16.0,462,,F:clear|B:unknown,5.7918,0.0985
2,9,462,,F:clear|B:unknown,forward|slow_forward,forward,-12.0,157,,F:near|B:unknown,-0.7506,0.0985
2,10,157,,F:near|B:unknown,soft_left|soft_right,soft_right,16.0,385,,F:clear|B:unknown,3.303,0.0985
2,11,385,,F:clear|B:unknown,forward|slow_forward,forward,6.8,353,,F:clear|B:unknown,1.811,0.0985
2,12,353,,F:clear|B:unknown,forward|slow_forward,forward,-12.0,226,,F:medium|B:unknown,-0.6037,0.0985
2,13,226,,F:medium|B:unknown,slow_forward,slow_forward,-12.0,178,,F:near|B:unknown,-0.8736,0.0985
2,14,178,,F:near|B:unknown,soft_left|soft_right,soft_left,-20.0,62,,F:danger|B:unknown,3.0297,0.0985
2,15,62,,F:danger|B:unknown,turn_left|turn_right,turn_left,14.8,110,,F:near|B:unknown,12.9213,0.0985
2,16,110,,F:near|B:unknown,soft_left|soft_right,soft_right,6.4,124,,F:near|B:unknown,4.3837,0.0985
2,17,124,,F:near|B:unknown,soft_left|soft_right,soft_right,20.0,269,,F:medium|B:unknown,7.2659,0.0985
2,18,269,,F:medium|B:unknown,slow_forward,slow_forward,-2.0,267,,F:medium|B:unknown,0.0803,0.0985
2,19,267,,F:medium|B:unknown,slow_forward,slow_forward,-20.0,86,,F:danger|B:unknown,-1.1843,0.0985
2,20,86,,F:danger|B:unknown,turn_left|turn_right,turn_left,-4.0,93,,F:danger|B:unknown,11.9222,0.0985
2,21,93,,F:danger|B:unknown,turn_left|turn_right,turn_left,20.0,205,,F:medium|B:unknown,13.4475,0.0985
2,22,205,,F:medium|B:unknown,slow_forward,slow_forward,-20.0,91,,F:danger|B:unknown,-1.1009,0.0985
2,23,91,,F:danger|B:unknown,turn_left|turn_right,turn_left,14.6,137,,F:near|B:unknown,14.8059,0.0985
2,24,137,,F:near|B:unknown,soft_left|soft_right,soft_right,-25.0,56,,F:extreme|B:unknown,2.8732,0.0985
2,25,56,,F:extreme|B:unknown,escape_left|escape_right,escape_left,18.6,122,,F:near|B:unknown,11.1538,0.0985
2,26,122,,F:near|B:unknown,soft_left|soft_right,soft_left,-25.0,10,,F:extreme|B:unknown,-0.2489,0.0985
2,27,10,,F:extreme|B:unknown,escape_left|escape_right,escape_left,17.5,65,,F:danger|B:unknown,14.6414,0.0985
2,28,65,,F:danger|B:unknown,turn_left|turn_right,turn_left,17.3,138,,F:near|B:unknown,15.7099,0.0985
2,29,138,,F:near|B:unknown,soft_left|soft_right,soft_right,15.6,194,,F:medium|B:unknown,5.2353,0.0985
2,30,194,,F:medium|B:unknown,slow_forward,slow_forward,-12.0,149,,F:near|B:unknown,-0.9617,0.0985
2,31,149,,F:near|B:unknown,soft_left|soft_right,soft_right,-4.0,105,,F:near|B:unknown,4.4022,0.0985
2,32,105,,F:near|B:unknown,soft_left|soft_right,soft_right,-4.0,103,184,F:near|B:clear,3.1417,0.0985
2,33,103,184,F:near|B:clear,soft_left|soft_right,soft_left,-8.0,,,F:unknown|B:unknown,0.7135,0.0985
2,34,,,F:unknown|B:unknown,stop,stop,3.0,,,F:unknown|B:unknown,5.7875,0.0985
2,35,,,F:unknown|B:unknown,stop,stop,3.0,,,F:unknown|B:unknown,6.2025,0.0985
2,36,,,F:unknown|B:unknown,stop,stop,3.0,,,F:unknown|B:unknown,6.6086,0.0985
2,37,,,F:unknown|B:unknown,stop,stop,3.0,,,F:unknown|B:unknown,7.0058,0.0985
2,38,,,F:unknown|B:unknown,stop,stop,3.0,,,F:unknown|B:unknown,7.3945,0.0985
2,39,,,F:unknown|B:unknown,stop,stop,3.0,,,F:unknown|B:unknown,7.7748,0.0985
2,40,,,F:unknown|B:unknown,stop,stop,3.0,,,F:unknown|B:unknown,8.1468,0.0985
2,41,,,F:unknown|B:unknown,stop,stop,3.0,,,F:unknown|B:unknown,8.5109,0.0985
